CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
731	762	10	0.8952	31.964
902	926	10	0.868	-0.000
262	790	10	0.7651	17.028
505	926	10	0.8525	0.985
262	678	10	0.7993	221.136
708	879	10	0.8141	-24.011
505	1120	10	0.8772	-24.009
974	1055	10	0.8096	40.005
262	1088	10	0.9239	-283.090
207	209	10	0.8757	-15.995
507	527	10	0.8718	276.033
205	831	10	0.8982	-306.025
854	1120	10	0.9364	0.001
508	817	10	0.8803	40.005
505	855	10	0.9134	-40.005
507	855	10	0.9029	-15.995
902	974	10	0.7859	-40.005
505	508	10	0.9281	-40.005
508	831	10	0.962	0.001
205	209	10	0.9581	-61.955
484	1120	10	0.8934	15.993
902	1003	10	0.9418	0.001
731	827	10	0.8707	30.978
879	974	10	0.8686	-15.993
507	508	10	0.8955	-15.995
708	902	10	0.9436	0.000
113	874	10	0.6556	97.028
507	903	10	0.8537	24.010
926	1055	10	0.8671	0.000
505	903	10	0.9148	0.000
527	1120	10	0.879	-276.032
505	817	10	0.9148	0.000
204	1084	10	0.9554	-14.014
508	709	10	0.8822	40.006
209	855	10	0.8904	-244.069
708	1152	10	0.8626	0.000
926	1152	10	1.0	0.000
207	827	10	0.8831	30.978
817	1152	10	0.8133	0.985
505	709	10	0.9164	0.001
974	1003	10	0.8115	40.005
204	205	10	0.9362	-15.995
209	678	10	0.8738	-0.000
711	1003	10	0.7198	80.952
709	817	10	0.897	-0.001
831	1120	10	0.9156	15.995
204	874	10	0.9566	15.995
903	1152	10	0.8133	0.985
762	827	10	0.9698	-0.986
505	507	10	0.8863	-24.010
903	926	10	0.8133	0.985
817	926	10	0.8133	0.985
709	903	10	0.897	-0.001
205	855	10	0.8908	-306.024
902	1055	10	0.9452	0.000
879	1055	10	0.815	24.012
1003	1055	10	0.9245	-0.000
508	903	10	0.8803	40.005
112	827	10	0.8964	30.977
527	762	10	0.9844	0.000
207	762	10	0.9075	31.964
31	262	10	0.8775	-283.092
112	874	10	0.902	77.950
902	1152	10	0.868	-0.000
209	831	10	0.8937	-244.069
112	762	10	0.9203	31.963
708	1055	10	0.9364	0.001
508	854	10	0.8861	15.995
709	855	10	0.8928	-40.005
1088	1094	10	0.9136	-283.091
112	204	10	0.9071	61.955
879	902	10	0.8149	24.012
902	1037	10	0.7963	-40.006
507	762	10	0.885	276.033
112	731	10	0.9664	-0.000
855	1120	10	0.9088	15.995
827	854	10	0.8605	-275.048
112	678	10	0.803	-15.995
762	874	10	0.9716	45.987
484	505	10	0.902	40.003
484	831	10	0.9486	-0.002
507	1120	10	0.967	0.001
31	209	10	0.9546	-61.955
831	854	10	0.8895	15.994
209	262	10	0.8777	-221.137
484	709	10	0.8976	40.004
203	205	10	0.8899	-39.022
1003	1037	10	0.8094	-40.007
204	762	10	0.9654	-29.992
1037	1152	10	0.7951	40.006
204	731	10	0.8802	-61.955
731	1084	10	0.8878	47.941
879	1003	10	0.831	24.012
31	203	10	0.8808	39.022
709	1152	10	0.8961	0.984
709	926	10	0.8961	0.984
113	827	10	0.6698	50.055
112	527	10	0.9188	31.963
204	827	10	0.9471	-30.978
1003	1152	10	0.8797	-0.001
112	1084	10	0.9135	47.941
709	1055	10	0.8661	0.985
508	855	10	0.9573	0.001
205	678	10	0.8833	-61.955
926	1003	10	0.8797	0.001
831	855	10	0.9478	0.000
207	1084	10	0.9013	47.941
207	527	10	0.9028	31.963
678	731	10	0.7888	15.995
31	204	10	0.9274	15.995
204	527	10	0.9595	-29.992
484	855	10	0.9668	-0.002
112	209	10	0.8858	-15.995
527	827	10	0.9539	-0.986
31	678	10	0.8911	-61.956
1055	1152	10	0.8671	-0.000
31	205	10	0.9868	-0.000
112	207	10	0.9779	-0.001
827	874	10	0.9526	46.973
262	484	10	0.8923	-22.931
204	207	10	0.8907	-61.955
205	262	10	0.8878	-283.092
709	831	10	0.9077	-40.005
140	407	11	0.934	0.000
140	323	11	0.9314	14.016
429	668	11	0.836	-0.000
136	403	11	0.94	0.000
403	559	11	0.666	-18.045
429	1005	11	0.6926	27.995
83	140	11	0.8661	-14.016
407	726	11	0.8154	-24.001
147	327	11	0.817	24.000
83	368	11	0.9748	0.000
368	407	11	0.9142	-14.016
323	726	11	0.833	-38.017
87	327	11	0.9301	-0.000
87	140	11	0.891	0.000
328	653	11	0.7311	2.016
137	407	11	0.8543	-14.016
349	1030	11	0.6555	-37.982
349	429	11	0.7542	-12.001
147	726	11	1.0	0.000
137	726	11	0.8322	-38.017
83	475	11	0.8361	-38.016
324	475	11	0.8345	-38.016
144	147	11	0.8755	-9.985
137	323	11	0.9836	-0.000
323	407	11	0.9212	-14.016
83	327	11	0.9012	-14.016
83	323	11	0.9721	0.000
83	87	11	0.8312	-14.016
323	368	11	0.9821	0.000
668	1005	11	0.665	27.995
87	137	11	0.8448	14.017
403	404	11	0.8007	-0.046
144	654	11	0.8602	0.000
323	475	11	0.833	-38.016
140	324	11	0.8705	14.016
400	739	11	0.8711	0.000
324	327	11	0.9179	-14.016
403	654	11	0.6741	-32.024
324	726	11	0.8345	-38.017
349	654	11	0.7167	74.036
87	951	11	0.7006	-30.010
136	404	11	0.7831	-0.045
136	911	11	0.7901	-43.988
656	945	11	0.8523	0.000
79	990	11	0.9308	-0.000
653	1128	11	0.6668	-51.996
144	653	11	0.8167	15.995
656	865	11	0.8234	14.015
144	726	11	0.8755	-9.985
140	327	11	0.9119	-0.000
137	475	11	0.8322	-38.016
324	368	11	0.9798	0.000
400	724	11	0.8519	-0.000
400	652	11	0.8148	14.015
652	724	11	0.7407	-14.016
137	324	11	0.986	-0.000
147	368	11	0.8098	38.017
724	739	11	0.8195	0.000
140	368	11	0.9181	14.016
349	668	11	0.7224	-12.001
87	368	11	0.8966	14.017
147	475	11	1.0	0.000
323	324	11	0.9907	0.000
403	653	11	0.727	-16.029
323	327	11	0.9185	-14.016
327	726	11	0.817	-24.000
87	324	11	0.8398	14.016
653	654	11	0.7738	-15.995
324	407	11	0.8513	-14.016
429	654	11	0.7659	86.036
87	865	11	0.6902	-15.995
865	945	11	0.8632	-14.015
137	368	11	0.9751	0.000
400	653	11	0.6901	-28.031
654	668	11	0.7403	-86.036
83	324	11	0.9769	0.000
140	475	11	0.8454	-24.000
652	739	11	0.8191	-14.015
79	368	11	0.8109	-18.010
83	407	11	0.8453	-14.016
559	653	11	0.7894	2.016
140	726	11	0.8454	-24.000
87	407	11	0.8945	0.000
83	726	11	0.8293	-38.017
349	1005	11	0.7219	15.994
137	327	11	0.9202	-14.017
83	137	11	0.9725	0.000
403	958	11	0.6765	3.012
327	368	11	0.8986	14.017
429	1030	11	0.6582	-25.982
403	911	11	0.792	-43.989
475	726	11	1.0	-0.000
87	323	11	0.9177	14.016
327	407	11	0.9025	0.000
144	475	11	0.8675	-9.985
137	140	11	0.8746	-14.016
136	958	11	0.6636	3.012
328	559	11	0.9311	0.000
407	475	11	0.8154	-24.000
90	560	12	0.6914	-3.027
90	409	12	0.7266	0.000
198	1026	12	0.8509	-0.000
143	198	12	0.8647	0.000
